Num.of.Individuals,Num.of.Markers,Type,accuracy,SD,Comparison,
40,10,T,0.9875,0,PUR_LWK,
40,20,T,1,0,PUR_LWK,
40,30,T,1,0,PUR_LWK,
40,40,T,1,0,PUR_LWK,
40,50,T,1,0,PUR_LWK,
40,60,T,1,0,PUR_LWK,
40,70,T,1,0,PUR_LWK,
40,80,T,1,0,PUR_LWK,
40,90,T,1,0,PUR_LWK,
40,100,T,1,0,PUR_LWK,
50,10,T,0.99,0,PUR_LWK,
50,20,T,1,0,PUR_LWK,
50,30,T,1,0,PUR_LWK,
50,40,T,1,0,PUR_LWK,
50,50,T,1,0,PUR_LWK,
50,60,T,1,0,PUR_LWK,
50,70,T,1,0,PUR_LWK,
50,80,T,1,0,PUR_LWK,
50,90,T,1,0,PUR_LWK,
50,100,T,1,0,PUR_LWK,
10,10,R,0.8075,0.112711789,PUR_LWK,
10,20,R,0.91,0.069962396,PUR_LWK,
10,30,R,0.96,0.050262469,PUR_LWK,
10,40,R,0.9775,0.030240266,PUR_LWK,
10,50,R,0.985,0.028562029,PUR_LWK,
10,60,R,0.9875,0.02750598,PUR_LWK,
10,70,R,0.9925,0.024468024,PUR_LWK,
10,80,R,0.9975,0.01118034,PUR_LWK,
10,90,R,0.9975,0.01118034,PUR_LWK,
10,100,R,0.9975,0.01118034,PUR_LWK,
20,10,R,0.80875,0.101071561,PUR_LWK,
20,20,R,0.905,0.055960512,PUR_LWK,
20,30,R,0.9575,0.042996328,PUR_LWK,
20,40,R,0.9725,0.030240266,PUR_LWK,
20,50,R,0.98125,0.029103943,PUR_LWK,
20,60,R,0.9875,0.020679255,PUR_LWK,
20,70,R,0.99125,0.01677051,PUR_LWK,
20,80,R,0.995,0.013078709,PUR_LWK,
20,90,R,0.9975,0.007694838,PUR_LWK,
20,100,R,0.99875,0.00559017,PUR_LWK,
30,10,R,0.809166667,0.087605409,PUR_LWK,
30,20,R,0.9075,0.049404347,PUR_LWK,
30,30,R,0.9575,0.037648342,PUR_LWK,
30,40,R,0.969166667,0.031192198,PUR_LWK,
30,50,R,0.976666667,0.029319774,PUR_LWK,
30,60,R,0.985,0.017013926,PUR_LWK,
30,70,R,0.988333333,0.013355245,PUR_LWK,
30,80,R,0.99,0.011342617,PUR_LWK,
30,90,R,0.996666667,0.006839856,PUR_LWK,
30,100,R,0.998333333,0.005129892,PUR_LWK,
40,10,R,0.8125,0.079781775,PUR_LWK,
40,20,R,0.9075,0.043377171,PUR_LWK,
40,30,R,0.9575,0.033294934,PUR_LWK,
40,40,R,0.971875,0.024958848,PUR_LWK,
40,50,R,0.97875,0.02333255,PUR_LWK,
40,60,R,0.986875,0.014324138,PUR_LWK,
40,70,R,0.99125,0.010016434,PUR_LWK,
40,80,R,0.99125,0.010016434,PUR_LWK,
40,90,R,0.99625,0.005877029,PUR_LWK,
40,100,R,0.998125,0.004579344,PUR_LWK,
50,10,R,0.8165,0.072712484,PUR_LWK,
50,20,R,0.907,0.040013156,PUR_LWK,
50,30,R,0.954,0.029629288,PUR_LWK,
50,40,R,0.97,0.024279079,PUR_LWK,
50,50,R,0.9765,0.024978938,PUR_LWK,
50,60,R,0.9865,0.012258187,PUR_LWK,
50,70,R,0.9915,0.008127277,PUR_LWK,
50,80,R,0.9915,0.008127277,PUR_LWK,
50,90,R,0.9965,0.004893605,PUR_LWK,
50,100,R,0.998,0.004103913,PUR_LWK,
