Num.of.Individuals	Num.of.Markers	Type	accuracy	SD	misclassification	FST	jittered_x
10	20	T	0.65	0	0.35	0.05	20.1631633229554
10	30	T	0.8	0	0.2	0.05	29.8211324105971
10	40	T	0.7	0	0.3	0.05	40.0208628933877
10	50	T	0.7	0	0.3	0.05	49.7802680733614
10	60	T	0.6	0	0.4	0.05	60.0352285662666
10	70	T	0.7	0	0.3	0.05	70.2007580791134
10	80	T	0.65	0	0.35	0.05	79.9837813390885
10	90	T	0.65	0	0.35	0.05	90.0456287206616
10	100	T	0.65	0	0.35	0.05	100.287991478387
20	10	T	0.675	0	0.325	0.05	9.91418038806878
20	20	T	0.625	0	0.375	0.05	19.740853962535
20	30	T	0.7	0	0.3	0.05	30.2518510096706
20	40	T	0.65	0	0.35	0.05	39.9086590339895
20	50	T	0.65	0	0.35	0.05	49.9635967227165
20	60	T	0.6	0	0.4	0.05	60.2308706518728
20	70	T	0.675	0	0.325	0.05	70.2174755477812
20	80	T	0.65	0	0.35	0.05	79.7109558167402
20	90	T	0.65	0	0.35	0.05	90.1766243554652
20	100	T	0.65	0	0.35	0.05	100.184815648431
30	10	T	0.65	0	0.35	0.05	9.85042217536829
30	20	T	0.65	0	0.35	0.05	20.1402946641669
30	30	T	0.666666666666667	0	0.333333333333333	0.05	30.0168463429436
30	40	T	0.65	0	0.35	0.05	40.1176249467768
30	50	T	0.65	0	0.35	0.05	49.7962553500198
30	60	T	0.583333333333333	0	0.416666666666667	0.05	59.713705680985
30	70	T	0.633333333333333	0	0.366666666666667	0.05	69.8258841624949
30	80	T	0.633333333333333	0	0.366666666666667	0.05	80.2121900473256
30	90	T	0.633333333333333	0	0.366666666666667	0.05	90.2297872119583
30	100	T	0.633333333333333	0	0.366666666666667	0.05	99.974082018109
40	10	T	0.6625	0	0.3375	0.05	10.0310322019272
40	20	T	0.65	0	0.35	0.05	20.043329683505
40	30	T	0.6625	0	0.3375	0.05	30.1279766579624
40	40	T	0.6375	0	0.3625	0.05	40.209870708501
40	50	T	0.65	0	0.35	0.05	50.2711735002231
40	60	T	0.6	0	0.4	0.05	59.7467434889171
40	70	T	0.6375	0	0.3625	0.05	70.2599618717097
40	80	T	0.6375	0	0.3625	0.05	79.9912935945205
40	90	T	0.6375	0	0.3625	0.05	89.7550788254477
40	100	T	0.625	0	0.375	0.05	99.7608190824278
50	10	T	0.65	0	0.35	0.05	9.74760608216748
50	20	T	0.64	0	0.36	0.05	19.9175906431861
50	30	T	0.64	0	0.36	0.05	30.1948426448274
50	40	T	0.62	0	0.38	0.05	40.1624181368388
50	50	T	0.63	0	0.37	0.05	50.2718918071128
50	60	T	0.6	0	0.4	0.05	60.2704732837155
50	70	T	0.63	0	0.37	0.05	69.9607923438307
50	80	T	0.62	0	0.38	0.05	79.8953893972095
50	90	T	0.61	0	0.39	0.05	90.080631519109
50	100	T	0.6	0	0.4	0.05	99.8279596045613
10	10	R	0.6025	0.120825014837683	0.3975	0.05	9.7441703802906
10	20	R	0.7025	0.121909155133087	0.2975	0.05	20.1810360672418
10	30	R	0.7225	0.124049014082083	0.2775	0.05	30.0712469183374
10	40	R	0.765	0.131889108125369	0.235	0.05	39.8260059597902
10	50	R	0.795	0.114593101656986	0.205	0.05	50.0242720796727
10	60	R	0.845	0.0930478088771686	0.155	0.05	60.0232678217813
10	70	R	0.86	0.0911909506128991	0.14	0.05	69.993680886412
10	80	R	0.8625	0.0871704319739573	0.1375	0.05	80.1899759310763
10	90	R	0.88	0.0695852373938459	0.12	0.05	90.2135326959193
10	100	R	0.895	0.0723660286685898	0.105	0.05	99.7121175617911
20	10	R	0.60125	0.0961341579033669	0.39875	0.05	10.0229140543379
20	20	R	0.69875	0.0974932521281669	0.30125	0.05	19.9865559243597
20	30	R	0.73375	0.0939887311274462	0.26625	0.05	30.0020708046388
20	40	R	0.76625	0.100090419647752	0.23375	0.05	40.0479008644819
20	50	R	0.78875	0.0991659295269669	0.21125	0.05	50.1920586037915
20	60	R	0.85	0.0827170191868511	0.15	0.05	59.9002716634423
20	70	R	0.86	0.0783883718551755	0.14	0.05	69.8534888487309
20	80	R	0.865	0.0675706258198354	0.135	0.05	80.1500785533804
20	90	R	0.88375	0.04817389006724	0.11625	0.05	89.9904414473567
20	100	R	0.9	0.0561951486949016	0.1	0.05	100.182672755513
30	10	R	0.603333333333333	0.0813985933180176	0.396666666666667	0.05	9.90417516310699
30	20	R	0.695	0.0883738735173912	0.305	0.05	20.0697632113937
30	30	R	0.7275	0.0926028746727703	0.2725	0.05	30.2426020078361
30	40	R	0.768333333333333	0.083228003609334	0.231666666666667	0.05	39.8267872698139
30	50	R	0.799166666666667	0.0865983198788982	0.200833333333333	0.05	49.892191581009
30	60	R	0.8475	0.0769056154270319	0.1525	0.05	59.7029316379689
30	70	R	0.859166666666667	0.0736426888023182	0.140833333333333	0.05	69.9243875586428
30	80	R	0.87	0.0625014619712052	0.13	0.05	80.2449296123348
30	90	R	0.885	0.0486363760576731	0.115	0.05	89.914230741933
30	100	R	0.900833333333333	0.0517175753718132	0.0991666666666666	0.05	99.9643103145063
40	10	R	0.59625	0.0861359849002543	0.40375	0.05	10.0089708679356
40	20	R	0.686875	0.0782702596944177	0.313125	0.05	19.8619946562685
40	30	R	0.723125	0.0800159318017685	0.276875	0.05	30.0927137109451
40	40	R	0.759375	0.0724199876088305	0.240625	0.05	39.7542187124025
40	50	R	0.795625	0.0803236667948396	0.204375	0.05	49.8846742770169
40	60	R	0.8425	0.0732695097065047	0.1575	0.05	59.7798072684556
40	70	R	0.854375	0.0693336469923742	0.145625	0.05	70.2609740137588
40	80	R	0.866875	0.063514787958976	0.133125	0.05	80.1741451449692
40	90	R	0.88	0.0480542456637891	0.12	0.05	89.75849966635
40	100	R	0.893125	0.0489150377803455	0.106875	0.05	99.9633694828954
50	10	R	0.6	0.0846043423048847	0.4	0.05	9.82357902037911
50	20	R	0.6795	0.0751472239218316	0.3205	0.05	20.1297784656752
50	30	R	0.72	0.0761577310586391	0.28	0.05	29.8977014186326
50	40	R	0.7635	0.0661159268971833	0.2365	0.05	40.1979839412961
50	50	R	0.794	0.0796307266799628	0.206	0.05	49.9811724889092
50	60	R	0.838	0.0655021092468744	0.162	0.05	60.2209571833257
50	70	R	0.8515	0.0657166965886624	0.1485	0.05	70.1800544016529
50	80	R	0.8635	0.0622621791087368	0.1365	0.05	80.1546465848573
50	90	R	0.8775	0.047999451751255	0.1225	0.05	90.1304179108702
50	100	R	0.8925	0.048436067466083	0.1075	0.05	100.036188040348
10	10	T	0.5	0	0.5	0.06	10.1853984410409
10	20	T	0.55	0	0.45	0.06	19.9520270004403
10	30	T	0.65	0	0.35	0.06	29.7556777194142
10	40	T	0.7	0	0.3	0.06	40.1657737433445
10	50	T	0.75	0	0.25	0.06	49.8647577896249
10	60	T	0.75	0	0.25	0.06	60.1809675120749
10	70	T	0.7	0	0.3	0.06	70.253629685007
10	80	T	0.7	0	0.3	0.06	79.9194987131748
10	90	T	0.7	0	0.3	0.06	90.2674806443509
10	100	T	0.75	0	0.25	0.06	99.8293688929174
20	10	T	0.65	0	0.35	0.06	10.0484452985693
20	20	T	0.6	0	0.4	0.06	20.1328340824693
20	30	T	0.7	0	0.3	0.06	29.7818554422352
20	40	T	0.725	0	0.275	0.06	39.8798105159309
20	50	T	0.7	0	0.3	0.06	50.2743982413318
20	60	T	0.725	0	0.275	0.06	60.1108811482787
20	70	T	0.7	0	0.3	0.06	69.8112684957217
20	80	T	0.7	0	0.3	0.06	80.0070088905748
20	90	T	0.7	0	0.3	0.06	89.7877554696053
20	100	T	0.75	0	0.25	0.06	100.163913538773
30	10	T	0.666666666666667	0	0.333333333333333	0.06	10.1448191524949
30	20	T	0.6	0	0.4	0.06	20.2404595112428
